"Professor 0","Course 2768"
"Professor 0","Course 2739"
"Professor 0","Course 2654"
"Professor 0","Course 2762"
"Professor 1","Course 2501"
"Professor 1","Course 2605"
"Professor 1","Course 2737"
"Professor 1","Course 2550"
"Professor 1","Course 2514"
"Professor 1","Course 2522"
"Professor 2","Course 2532"
"Professor 2","Course 2628"
"Professor 2","Course 2625"
"Professor 2","Course 2629"
"Professor 2","Course 2670"
"Professor 2","Course 2663"
"Professor 3","Course 2673"
"Professor 3","Course 2652"
"Professor 3","Course 2537"
"Professor 4","Course 2606"
"Professor 4","Course 2654"
"Professor 4","Course 2783"
"Professor 5","Course 2583"
"Professor 5","Course 2622"
"Professor 5","Course 2593"
"Professor 5","Course 2641"
"Professor 5","Course 2529"
"Professor 6","Course 2588"
"Professor 6","Course 2585"
"Professor 6","Course 2552"
"Professor 6","Course 2768"
"Professor 6","Course 2590"
"Professor 6","Course 2756"
"Professor 7","Course 2596"
"Professor 7","Course 2770"
"Professor 7","Course 2749"
"Professor 7","Course 2513"
"Professor 7","Course 2677"
"Professor 8","Course 2698"
"Professor 8","Course 2614"
"Professor 8","Course 2741"
"Professor 8","Course 2603"
"Professor 8","Course 2694"
"Professor 9","Course 2703"
"Professor 9","Course 2526"
"Professor 9","Course 2638"
"Professor 9","Course 2608"
"Professor 10","Course 2772"
"Professor 10","Course 2790"
"Professor 10","Course 2638"
"Professor 11","Course 2764"
"Professor 11","Course 2695"
"Professor 11","Course 2745"
"Professor 11","Course 2736"
"Professor 11","Course 2736"
"Professor 11","Course 2722"
"Professor 12","Course 2662"
"Professor 12","Course 2539"
"Professor 12","Course 2678"
"Professor 12","Course 2605"
"Professor 12","Course 2523"
"Professor 13","Course 2708"
"Professor 13","Course 2670"
"Professor 13","Course 2645"
"Professor 13","Course 2527"
"Professor 14","Course 2511"
"Professor 14","Course 2728"
"Professor 14","Course 2594"
"Professor 14","Course 2739"
"Professor 14","Course 2597"
"Professor 14","Course 2713"
"Professor 15","Course 2571"
"Professor 15","Course 2699"
"Professor 15","Course 2642"
"Professor 15","Course 2717"
"Professor 15","Course 2738"
"Professor 15","Course 2765"
"Professor 16","Course 2584"
"Professor 16","Course 2560"
"Professor 16","Course 2580"
"Professor 17","Course 2774"
"Professor 17","Course 2648"
"Professor 17","Course 2614"
"Professor 17","Course 2617"
"Professor 17","Course 2746"
"Professor 17","Course 2538"
"Professor 18","Course 2790"
"Professor 18","Course 2524"
"Professor 18","Course 2601"
"Professor 19","Course 2751"
"Professor 19","Course 2735"
"Professor 19","Course 2659"
"Professor 19","Course 2517"
"Professor 19","Course 2535"
"Professor 19","Course 2608"
"Professor 20","Course 2533"
"Professor 20","Course 2605"
"Professor 20","Course 2628"
"Professor 21","Course 2721"
"Professor 21","Course 2666"
"Professor 21","Course 2723"
"Professor 21","Course 2524"
"Professor 21","Course 2556"
"Professor 21","Course 2728"
"Professor 22","Course 2586"
"Professor 22","Course 2545"
"Professor 22","Course 2551"
"Professor 22","Course 2771"
"Professor 22","Course 2739"
"Professor 23","Course 2592"
"Professor 23","Course 2650"
"Professor 23","Course 2510"
"Professor 23","Course 2737"
"Professor 23","Course 2516"
"Professor 24","Course 2649"
"Professor 24","Course 2722"
"Professor 24","Course 2709"
"Professor 25","Course 2733"
"Professor 25","Course 2549"
"Professor 25","Course 2591"
"Professor 25","Course 2757"
"Professor 25","Course 2736"
"Professor 25","Course 2573"
"Professor 26","Course 2550"
"Professor 26","Course 2742"
"Professor 26","Course 2744"
"Professor 26","Course 2800"
"Professor 26","Course 2600"
"Professor 26","Course 2526"
"Professor 27","Course 2521"
"Professor 27","Course 2531"
"Professor 27","Course 2684"
"Professor 28","Course 2656"
"Professor 28","Course 2797"
"Professor 28","Course 2537"
"Professor 28","Course 2659"
"Professor 28","Course 2539"
"Professor 28","Course 2744"
"Professor 29","Course 2565"
"Professor 29","Course 2615"
"Professor 29","Course 2513"
"Professor 29","Course 2687"
"Professor 30","Course 2674"
"Professor 30","Course 2603"
"Professor 30","Course 2599"
"Professor 30","Course 2674"
"Professor 30","Course 2737"
"Professor 30","Course 2501"
"Professor 31","Course 2566"
"Professor 31","Course 2613"
"Professor 31","Course 2703"
"Professor 31","Course 2768"
"Professor 31","Course 2770"
"Professor 32","Course 2559"
"Professor 32","Course 2530"
"Professor 32","Course 2706"
"Professor 32","Course 2590"
"Professor 33","Course 2794"
"Professor 33","Course 2580"
"Professor 33","Course 2752"
"Professor 33","Course 2534"
"Professor 33","Course 2746"
"Professor 33","Course 2569"
"Professor 34","Course 2513"
"Professor 34","Course 2714"
"Professor 34","Course 2639"
"Professor 34","Course 2505"
"Professor 34","Course 2523"
"Professor 34","Course 2721"
"Professor 35","Course 2569"
"Professor 35","Course 2510"
"Professor 35","Course 2779"
"Professor 35","Course 2570"
"Professor 35","Course 2505"
"Professor 35","Course 2785"
"Professor 36","Course 2536"
"Professor 36","Course 2796"
"Professor 36","Course 2792"
"Professor 36","Course 2549"
"Professor 36","Course 2800"
"Professor 37","Course 2776"
"Professor 37","Course 2759"
"Professor 37","Course 2800"
"Professor 37","Course 2670"
"Professor 38","Course 2636"
"Professor 38","Course 2667"
"Professor 38","Course 2586"
"Professor 39","Course 2719"
"Professor 39","Course 2753"
"Professor 39","Course 2723"
"Professor 39","Course 2547"
"Professor 40","Course 2762"
"Professor 40","Course 2539"
"Professor 40","Course 2720"
"Professor 40","Course 2548"
"Professor 40","Course 2584"
"Professor 41","Course 2537"
"Professor 41","Course 2605"
"Professor 41","Course 2550"
"Professor 41","Course 2756"
"Professor 41","Course 2540"
"Professor 41","Course 2799"
"Professor 42","Course 2602"
"Professor 42","Course 2665"
"Professor 42","Course 2537"
"Professor 42","Course 2581"
"Professor 43","Course 2716"
"Professor 43","Course 2756"
"Professor 43","Course 2536"
"Professor 43","Course 2790"
"Professor 43","Course 2680"
"Professor 44","Course 2597"
"Professor 44","Course 2598"
"Professor 44","Course 2550"
"Professor 44","Course 2639"
"Professor 45","Course 2639"
"Professor 45","Course 2521"
"Professor 45","Course 2694"
"Professor 45","Course 2682"
"Professor 45","Course 2747"
"Professor 46","Course 2606"
"Professor 46","Course 2782"
"Professor 46","Course 2675"
"Professor 46","Course 2652"
"Professor 46","Course 2733"
"Professor 47","Course 2788"
"Professor 47","Course 2699"
"Professor 47","Course 2683"
"Professor 47","Course 2644"
"Professor 47","Course 2706"
"Professor 47","Course 2713"
"Professor 48","Course 2625"
"Professor 48","Course 2516"
"Professor 48","Course 2767"
"Professor 49","Course 2796"
"Professor 49","Course 2563"
"Professor 49","Course 2796"
"Professor 50","Course 2682"
"Professor 50","Course 2686"
"Professor 50","Course 2740"
"Professor 51","Course 2789"
"Professor 51","Course 2649"
"Professor 51","Course 2664"
"Professor 52","Course 2721"
"Professor 52","Course 2796"
"Professor 52","Course 2504"
"Professor 52","Course 2627"
"Professor 52","Course 2592"
"Professor 52","Course 2594"
"Professor 53","Course 2699"
"Professor 53","Course 2680"
"Professor 53","Course 2693"
"Professor 53","Course 2729"
"Professor 53","Course 2607"
"Professor 53","Course 2782"
"Professor 54","Course 2542"
"Professor 54","Course 2591"
"Professor 54","Course 2731"
"Professor 55","Course 2650"
"Professor 55","Course 2747"
"Professor 55","Course 2575"
"Professor 56","Course 2718"
"Professor 56","Course 2781"
"Professor 56","Course 2681"
"Professor 56","Course 2769"
"Professor 56","Course 2697"
"Professor 56","Course 2628"
"Professor 57","Course 2795"
"Professor 57","Course 2513"
"Professor 57","Course 2778"
"Professor 58","Course 2719"
"Professor 58","Course 2706"
"Professor 58","Course 2507"
"Professor 59","Course 2555"
"Professor 59","Course 2568"
"Professor 59","Course 2642"
"Professor 60","Course 2652"
"Professor 60","Course 2567"
"Professor 60","Course 2756"
"Professor 61","Course 2759"
"Professor 61","Course 2654"
"Professor 61","Course 2579"
"Professor 61","Course 2635"
"Professor 62","Course 2654"
"Professor 62","Course 2656"
"Professor 62","Course 2578"
"Professor 62","Course 2521"
"Professor 62","Course 2750"
"Professor 62","Course 2681"
"Professor 63","Course 2748"
"Professor 63","Course 2698"
"Professor 63","Course 2562"
"Professor 64","Course 2513"
"Professor 64","Course 2727"
"Professor 64","Course 2674"
"Professor 65","Course 2534"
"Professor 65","Course 2739"
"Professor 65","Course 2587"
